#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  6.8750E-01  1.2907E+00  3.3717E-02  0.0000E+00  0.0000E+00  0.0000E+00 -1.2810E-01  0.0000E+00  0.0000E+00	  0.68750000000000000        1.2899085983679182        5.7511231504333044E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.24054870513771359        0.0000000000000000        0.0000000000000000     
  6.9792E-01  1.2638E+00  2.1959E-02  0.0000E+00  0.0000E+00  0.0000E+00 -1.0026E-01  0.0000E+00  0.0000E+00	  0.69791666666666663        1.2642264484155175        3.7490183846485475E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.18822697599317523        0.0000000000000000        0.0000000000000000     
  7.0833E-01  1.2364E+00  1.9659E-02  0.0000E+00  0.0000E+00  0.0000E+00 -7.9455E-02  0.0000E+00  0.0000E+00	  0.70833333333333326        1.2372863307122826        2.5946497885865477E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.14953010112498688        0.0000000000000000        0.0000000000000000     
  7.1875E-01  1.2071E+00  1.3347E-02  0.0000E+00  0.0000E+00  0.0000E+00 -6.2952E-02  0.0000E+00  0.0000E+00	  0.71875000000000000        1.2091029019964090        1.9070905859850634E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.12015808611074512        0.0000000000000000        0.0000000000000000     
  7.2917E-01  1.1772E+00  1.2616E-02  0.0000E+00  0.0000E+00  0.0000E+00 -4.9970E-02  0.0000E+00  0.0000E+00	  0.72916666666666663        1.1796902432653447        1.4785373398085208E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       -9.7315465574771720E-002   0.0000000000000000        0.0000000000000000     
  7.3958E-01  1.1457E+00  8.7703E-03  0.0000E+00  0.0000E+00  0.0000E+00 -3.9277E-02  0.0000E+00  0.0000E+00	  0.73958333333333326        1.1490617187875591        1.1958239141425325E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       -7.9156421216054193E-002   0.0000000000000000        0.0000000000000000     
  7.5000E-01  1.1134E+00  8.6134E-03  0.0000E+00  0.0000E+00  0.0000E+00 -3.0586E-02  0.0000E+00  0.0000E+00	  0.75000000000000000        1.1172298395043048        9.9719721406727815E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -6.4441880872499593E-002   0.0000000000000000        0.0000000000000000     
  7.6042E-01  1.0796E+00  6.0460E-03  0.0000E+00  0.0000E+00  0.0000E+00 -2.3256E-02  0.0000E+00  0.0000E+00	  0.76041666666666663        1.0842061316847951        8.4872292325930548E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -5.2325468981639423E-002   0.0000000000000000        0.0000000000000000     
  7.7083E-01  1.0450E+00  6.0953E-03  0.0000E+00  0.0000E+00  0.0000E+00 -1.7185E-02  0.0000E+00  0.0000E+00	  0.77083333333333326        1.0500010116366325        7.3149607067467259E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -4.2218544553433407E-002   0.0000000000000000        0.0000000000000000     
  7.8125E-01  1.0091E+00  4.2611E-03  0.0000E+00  0.0000E+00  0.0000E+00 -1.2007E-02  0.0000E+00  0.0000E+00	  0.78125000000000000        1.0146236672238671        6.3474486296906038E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -3.3704203607070486E-002   0.0000000000000000        0.0000000000000000     
  7.9167E-01  9.7213E-01  4.3683E-03  0.0000E+00  0.0000E+00  0.0000E+00 -7.6923E-03  0.0000E+00  0.0000E+00	  0.79166666666666663       0.97808194689762074        5.5212539211338257E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -2.6481849361196838E-002   0.0000000000000000        0.0000000000000000     
  8.0208E-01  9.3410E-01  2.9881E-03  0.0000E+00  0.0000E+00  0.0000E+00 -4.0141E-03  0.0000E+00  0.0000E+00	  0.80208333333333326       0.94038225690663613        4.7973408370124357E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -2.0331007536458501E-002   0.0000000000000000        0.0000000000000000     
  8.1250E-01  8.9497E-01  3.0904E-03  0.0000E+00  0.0000E+00  0.0000E+00 -9.7483E-04  0.0000E+00  0.0000E+00	  0.81250000000000000       0.90152946732822259        4.1504097755067741E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.5087365854283982E-002   0.0000000000000000        0.0000000000000000     
